"County","Year","Race","Infant_Deaths"
"Anderson",2019,"Hispanic",NA
"Anderson",2019,"Black",0
"Anderson",2019,"Other",0
"Anderson",2019,"White",NA
"Andrews",2019,"Hispanic",NA
"Andrews",2019,"Black",0
"Andrews",2019,"Other",0
"Andrews",2019,"White",0
"Angelina",2019,"Hispanic",NA
"Angelina",2019,"Black",NA
"Angelina",2019,"Other",0
"Angelina",2019,"White",NA
"Aransas",2019,"Hispanic",NA
"Aransas",2019,"Black",0
"Aransas",2019,"Other",0
"Aransas",2019,"White",NA
"Atascosa",2019,"Hispanic",NA
"Atascosa",2019,"Black",0
"Atascosa",2019,"Other",0
"Atascosa",2019,"White",0
"Austin",2019,"Hispanic",NA
"Austin",2019,"Black",0
"Austin",2019,"Other",0
"Austin",2019,"White",NA
"Bastrop",2019,"Hispanic",NA
"Bastrop",2019,"Black",0
"Bastrop",2019,"Other",0
"Bastrop",2019,"White",NA
"Bee",2019,"Hispanic",NA
"Bee",2019,"Black",0
"Bee",2019,"Other",0
"Bee",2019,"White",NA
"Bell",2019,"Hispanic",NA
"Bell",2019,"Black",16
"Bell",2019,"Other",NA
"Bell",2019,"White",NA
"Bexar",2019,"Hispanic",111
"Bexar",2019,"Black",23
"Bexar",2019,"Other",NA
"Bexar",2019,"White",29
"Bowie",2019,"Hispanic",NA
"Bowie",2019,"Black",NA
"Bowie",2019,"Other",0
"Bowie",2019,"White",NA
"Brazoria",2019,"Hispanic",10
"Brazoria",2019,"Black",NA
"Brazoria",2019,"Other",NA
"Brazoria",2019,"White",NA
"Brazos",2019,"Hispanic",NA
"Brazos",2019,"Black",NA
"Brazos",2019,"Other",NA
"Brazos",2019,"White",10
"Brooks",2019,"Hispanic",NA
"Brooks",2019,"Black",0
"Brooks",2019,"Other",0
"Brooks",2019,"White",0
"Brown",2019,"Hispanic",NA
"Brown",2019,"Black",0
"Brown",2019,"Other",0
"Brown",2019,"White",0
"Burleson",2019,"Hispanic",0
"Burleson",2019,"Black",0
"Burleson",2019,"Other",0
"Burleson",2019,"White",NA
"Caldwell",2019,"Hispanic",NA
"Caldwell",2019,"Black",NA
"Caldwell",2019,"Other",0
"Caldwell",2019,"White",NA
"Calhoun",2019,"Hispanic",0
"Calhoun",2019,"Black",0
"Calhoun",2019,"Other",0
"Calhoun",2019,"White",NA
"Cameron",2019,"Hispanic",35
"Cameron",2019,"Black",NA
"Cameron",2019,"Other",0
"Cameron",2019,"White",NA
"Cass",2019,"Hispanic",0
"Cass",2019,"Black",NA
"Cass",2019,"Other",0
"Cass",2019,"White",NA
"Castro",2019,"Hispanic",NA
"Castro",2019,"Black",0
"Castro",2019,"Other",0
"Castro",2019,"White",0
"Chambers",2019,"Hispanic",NA
"Chambers",2019,"Black",0
"Chambers",2019,"Other",0
"Chambers",2019,"White",NA
"Cherokee",2019,"Hispanic",NA
"Cherokee",2019,"Black",0
"Cherokee",2019,"Other",0
"Cherokee",2019,"White",NA
"Clay",2019,"Hispanic",0
"Clay",2019,"Black",0
"Clay",2019,"Other",0
"Clay",2019,"White",NA
"Collin",2019,"Hispanic",12
"Collin",2019,"Black",11
"Collin",2019,"Other",NA
"Collin",2019,"White",16
"Colorado",2019,"Hispanic",NA
"Colorado",2019,"Black",0
"Colorado",2019,"Other",0
"Colorado",2019,"White",0
"Comal",2019,"Hispanic",NA
"Comal",2019,"Black",NA
"Comal",2019,"Other",0
"Comal",2019,"White",NA
"Comanche",2019,"Hispanic",NA
"Comanche",2019,"Black",0
"Comanche",2019,"Other",0
"Comanche",2019,"White",0
"Cooke",2019,"Hispanic",NA
"Cooke",2019,"Black",0
"Cooke",2019,"Other",0
"Cooke",2019,"White",NA
"Coryell",2019,"Hispanic",0
"Coryell",2019,"Black",NA
"Coryell",2019,"Other",0
"Coryell",2019,"White",NA
"Crockett",2019,"Hispanic",NA
"Crockett",2019,"Black",0
"Crockett",2019,"Other",0
"Crockett",2019,"White",0
"Dallam",2019,"Hispanic",0
"Dallam",2019,"Black",0
"Dallam",2019,"Other",0
"Dallam",2019,"White",NA
"Dallas",2019,"Hispanic",104
"Dallas",2019,"Black",77
"Dallas",2019,"Other",17
"Dallas",2019,"White",33
"Dawson",2019,"Hispanic",NA
"Dawson",2019,"Black",0
"Dawson",2019,"Other",0
"Dawson",2019,"White",0
"Deaf Smith",2019,"Hispanic",NA
"Deaf Smith",2019,"Black",0
"Deaf Smith",2019,"Other",0
"Deaf Smith",2019,"White",0
"Delta",2019,"Hispanic",0
"Delta",2019,"Black",0
"Delta",2019,"Other",0
"Delta",2019,"White",NA
"Denton",2019,"Hispanic",NA
"Denton",2019,"Black",NA
"Denton",2019,"Other",NA
"Denton",2019,"White",17
"Dewitt",2019,"Hispanic",NA
"Dewitt",2019,"Black",0
"Dewitt",2019,"Other",0
"Dewitt",2019,"White",NA
"Dickens",2019,"Hispanic",NA
"Dickens",2019,"Black",0
"Dickens",2019,"Other",0
"Dickens",2019,"White",0
"Duval",2019,"Hispanic",NA
"Duval",2019,"Black",0
"Duval",2019,"Other",0
"Duval",2019,"White",0
"Ector",2019,"Hispanic",NA
"Ector",2019,"Black",NA
"Ector",2019,"Other",0
"Ector",2019,"White",NA
"El Paso",2019,"Hispanic",46
"El Paso",2019,"Black",NA
"El Paso",2019,"Other",NA
"El Paso",2019,"White",NA
"Ellis",2019,"Hispanic",NA
"Ellis",2019,"Black",NA
